Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,half_time_result_sum,final_result_sum,home_team_proportion,away_team_proportion,TimeNew,TimeSlot,Day,Month,Year,Weekday,Weekend,0.5_under_half,1.5_under_half,2.5_under_half,0.5_under_final,1.5_under_final,2.5_under_final,3.5_under_final,4.5_under_final,0.5_above_half,1.5_above_half,2.5_above_half,0.5_above_final,1.5_above_final,2.5_above_final,3.5_above_final,4.5_above_final,mutual_goal,MS_1_under_1_5,MS_2_under_1_5,MS_0_under_1_5,MS_1_above_1_5,MS_2_above_1_5,MS_0_above_1_5,MS_1_under_2_5,MS_2_under_2_5,MS_0_under_2_5,MS_1_above_2_5,MS_2_above_2_5,MS_0_above_2_5,MS_1_under_3_5,MS_2_under_3_5,MS_0_under_3_5,MS_1_above_3_5,MS_2_above_3_5,MS_0_above_3_5,MS_1_under_4_5,MS_2_under_4_5,MS_0_under_4_5,MS_1_above_4_5,MS_2_above_4_5,MS_0_above_4_5
2019-09-14,17:30,Norwich,Man City,3,2,1,2,1,1,7,25,3,8,8,7,3,16,3,1,0,0,3,5,42.857142857142854,32.0,17,Afternoon,14,9,2019,5,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-09-15,14:00,Bournemouth,Everton,3,1,1,1,1,0,13,14,6,5,5,14,7,7,0,4,0,0,2,4,46.15384615384615,35.714285714285715,14,Morning,15,9,2019,6,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2019-09-15,16:30,Watford,Arsenal,2,2,0,0,2,2,31,10,7,4,14,4,7,1,3,3,0,0,2,4,22.58064516129032,40.0,16,Afternoon,15,9,2019,6,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-16,20:00,Aston Villa,West Ham,0,0,0,0,0,0,10,13,5,1,13,12,2,4,2,1,0,1,0,0,50.0,7.6923076923076925,20,Night,16,9,2019,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-09-20,20:00,Southampton,Bournemouth,1,3,2,0,2,2,25,6,6,3,8,9,4,5,1,3,0,0,2,4,24.0,50.0,20,Night,20,9,2019,4,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2019-09-21,12:30,Leicester,Tottenham,2,1,1,0,1,2,16,11,7,4,16,13,8,2,1,2,0,0,1,3,43.75,36.36363636363637,12,Morning,21,9,2019,5,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-09-21,15:00,Burnley,Norwich,2,0,1,2,0,1,13,11,6,2,11,10,7,3,0,1,0,0,2,2,46.15384615384615,18.181818181818183,15,Morning,21,9,2019,5,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-09-21,15:00,Everton,Sheffield United,0,2,2,0,1,2,16,2,3,1,9,9,12,3,1,3,0,0,1,2,18.75,50.0,15,Morning,21,9,2019,5,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-09-21,15:00,Man City,Watford,8,0,1,5,0,1,28,5,11,4,5,9,5,4,2,2,0,0,5,8,39.285714285714285,80.0,15,Morning,21,9,2019,5,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2019-09-21,17:30,Newcastle,Brighton,0,0,0,0,0,0,11,16,4,3,12,8,5,3,2,1,0,0,0,0,36.36363636363637,18.75,17,Afternoon,21,9,2019,5,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-09-22,14:00,Crystal Palace,Wolves,1,1,0,0,0,0,13,14,4,4,7,10,6,7,2,1,0,1,0,2,30.76923076923077,28.57142857142857,14,Morning,22,9,2019,6,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2019-09-22,14:00,West Ham,Man United,2,0,1,1,0,1,8,9,6,3,8,9,3,7,2,2,0,0,1,2,75.0,33.33333333333333,14,Morning,22,9,2019,6,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-09-22,16:30,Arsenal,Aston Villa,3,2,1,0,1,2,21,14,6,9,13,15,9,4,5,1,1,0,1,5,28.57142857142857,64.28571428571429,16,Afternoon,22,9,2019,6,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019-09-22,16:30,Chelsea,Liverpool,1,2,2,0,2,2,13,6,2,3,8,13,6,4,3,3,0,0,2,3,15.384615384615385,50.0,16,Afternoon,22,9,2019,6,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-09-28,12:30,Sheffield United,Liverpool,0,1,2,0,0,0,12,16,2,4,8,4,6,5,1,1,0,0,0,1,16.666666666666664,25.0,12,Morning,28,9,2019,5,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2019-09-28,15:00,Aston Villa,Burnley,2,2,0,1,0,1,16,10,3,3,10,16,7,3,1,4,0,0,1,4,18.75,30.0,15,Morning,28,9,2019,5,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-28,15:00,Bournemouth,West Ham,2,2,0,1,1,0,13,17,5,6,7,8,6,6,3,1,0,0,2,4,38.46153846153847,35.294117647058826,15,Morning,28,9,2019,5,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2019-09-28,15:00,Chelsea,Brighton,2,0,1,0,0,0,24,8,10,1,5,13,5,2,2,3,0,0,0,2,41.66666666666667,12.5,15,Morning,28,9,2019,5,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-09-28,15:00,Crystal Palace,Norwich,2,0,1,1,0,1,15,10,3,3,14,10,5,5,3,1,0,0,1,2,20.0,30.0,15,Morning,28,9,2019,5,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-09-28,15:00,Tottenham,Southampton,2,1,1,2,1,1,9,14,4,6,5,16,6,6,0,2,1,0,3,3,44.44444444444444,42.857142857142854,15,Morning,28,9,2019,5,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2019-09-28,15:00,Wolves,Watford,2,0,1,1,0,1,6,14,2,5,5,6,1,6,0,1,0,0,1,2,33.33333333333333,35.714285714285715,15,Morning,28,9,2019,5,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
